Paper_ID,Rhodolith beds,Chemical ecology,Reproduction,Holobiont,Deep reefs,Climate change,Fisheries,Methods,Taxonomy & Systematics,Macroalgae & Herbivory,Habitat structure,Oceanic islands,Trophic ecology & Nursery habitats ,Geomorphology & Paleontology,Oceanography & Productivity,Demography,Anthozoan biology,Hydrodynamics,Fish interactions,Invasive species,Biogeography & Phylogeography,Tourism & Pollution,Distribution limits,Cytogenetics,Conservation & Management
AGUIAR AA 2009 J MAR BIOL ASSOC U K,0.031384615,0.023384615,0.015384615,0.015384615,0.071384615,0.023384615,0.015384615,0.031384615,0.031384615,0.023384615,0.015384615,0.055384615,0.175384615,0.015384615,0.015384615,0.095384615,0.031384615,0.047384615,0.063384615,0.015384615,0.015384615,0.015384615,0.063384615,0.023384615,0.015384615
AGUILERA O 2017 PLOS ONE,0.012735609,0.019358125,0.012735609,0.039225675,0.025980642,0.012735609,0.012735609,0.012735609,0.098828324,0.025980642,0.019358125,0.045848192,0.019358125,0.264391238,0.012735609,0.012735609,0.019358125,0.025980642,0.025980642,0.025980642,0.059093225,0.012735609,0.131940907,0.019358125,0.012735609
AGUILERA O 2020 MAR MICROPALEONTOL,0.028293546,0.011052166,0.011052166,0.011052166,0.028293546,0.011052166,0.011052166,0.045534925,0.028293546,0.028293546,0.022546419,0.039787798,0.011052166,0.48806366,0.011052166,0.016799293,0.022546419,0.034040672,0.011052166,0.011052166,0.034040672,0.011052166,0.022546419,0.022546419,0.011052166
AGUILERA O 2020 MAR SEDMENT GEOL,0.009811617,0.025117739,0.014913658,0.009811617,0.025117739,0.035321821,0.025117739,0.035321821,0.035321821,0.03021978,0.020015699,0.035321821,0.020015699,0.372056515,0.03021978,0.020015699,0.009811617,0.035321821,0.014913658,0.020015699,0.009811617,0.025117739,0.096546311,0.014913658,0.014913658
AJALA-BATISTA L 2020 MAR BIODIVERS,0.013082156,0.013082156,0.013082156,0.019884877,0.019884877,0.013082156,0.04029304,0.108320251,0.047095761,0.019884877,0.019884877,0.176347462,0.019884877,0.013082156,0.053898482,0.019884877,0.094714809,0.033490319,0.013082156,0.094714809,0.019884877,0.019884877,0.053898482,0.019884877,0.013082156
ALBUQUERQUE T 2015 MAR FRESHW RES,0.011116052,0.016896398,0.011116052,0.016896398,0.022676745,0.040017786,0.016896398,0.011116052,0.011116052,0.011116052,0.109381948,0.016896398,0.028457092,0.011116052,0.011116052,0.011116052,0.016896398,0.016896398,0.097821254,0.011116052,0.016896398,0.381058248,0.011116052,0.011116052,0.028457092
ALITTO RAS 2018 ZOOTAXA,0.015024038,0.147836538,0.022836538,0.015024038,0.061899038,0.015024038,0.022836538,0.046274038,0.100961538,0.022836538,0.046274038,0.022836538,0.015024038,0.015024038,0.038461538,0.022836538,0.015024038,0.061899038,0.015024038,0.030649038,0.038461538,0.022836538,0.038461538,0.077524038,0.046274038
ALLER JY 1995 PALEOGEOGR PALEOCLIMATOL PALEOECOL,0.023443223,0.023443223,0.009157509,0.009157509,0.013919414,0.018681319,0.013919414,0.023443223,0.018681319,0.023443223,0.037728938,0.023443223,0.018681319,0.332967033,0.075824176,0.037728938,0.028205128,0.037728938,0.018681319,0.066300366,0.023443223,0.037728938,0.028205128,0.028205128,0.009157509
ALMADA F 2016 PEERJ,0.018737673,0.025147929,0.057199211,0.012327416,0.012327416,0.012327416,0.018737673,0.037968442,0.057199211,0.037968442,0.025147929,0.018737673,0.012327416,0.018737673,0.031558185,0.012327416,0.025147929,0.018737673,0.031558185,0.018737673,0.34566075,0.012327416,0.025147929,0.031558185,0.018737673
ALMEIDA ACS 2015 ZOOLOGIA,0.049450549,0.056593407,0.013736264,0.020879121,0.020879121,0.020879121,0.028021978,0.013736264,0.092307692,0.013736264,0.020879121,0.049450549,0.013736264,0.013736264,0.020879121,0.035164835,0.035164835,0.042307692,0.013736264,0.185164835,0.049450549,0.042307692,0.042307692,0.013736264,0.070879121
"ALMEIDA AO, 2015, MARINE BIODIVERSITY RECORDS",0.020678246,0.095947064,0.020678246,0.042183623,0.031430935,0.020678246,0.020678246,0.020678246,0.321753515,0.020678246,0.020678246,0.020678246,0.031430935,0.020678246,0.031430935,0.020678246,0.052936311,0.020678246,0.020678246,0.020678246,0.020678246,0.020678246,0.020678246,0.020678246,0.020678246
ALMEIDA CM 2013 CONT SHELF RES,0.052820513,0.012820513,0.012820513,0.032820513,0.046153846,0.126153846,0.012820513,0.026153846,0.026153846,0.072820513,0.046153846,0.019487179,0.019487179,0.239487179,0.039487179,0.019487179,0.012820513,0.012820513,0.019487179,0.032820513,0.032820513,0.012820513,0.019487179,0.012820513,0.012820513
"ALMEIDA DF, 2016, MARINE BIODIVERSITY RECORDS",0.028379388,0.038088125,0.01867065,0.028379388,0.028379388,0.01867065,0.047796863,0.01867065,0.047796863,0.01867065,0.01867065,0.15459298,0.01867065,0.028379388,0.028379388,0.01867065,0.028379388,0.01867065,0.076923077,0.028379388,0.057505601,0.028379388,0.096340553,0.038088125,0.047796863
ALMEIDA F 2012 FOOD CHEM TOXICOL,0.221611722,0.086691087,0.015262515,0.047008547,0.015262515,0.118437118,0.015262515,0.023199023,0.015262515,0.023199023,0.015262515,0.015262515,0.023199023,0.023199023,0.031135531,0.023199023,0.015262515,0.023199023,0.023199023,0.015262515,0.023199023,0.078754579,0.023199023,0.015262515,0.031135531
ALMEIDA LAH 2017 J HERED,0.029479503,0.011515431,0.029479503,0.011515431,0.04145555,0.017503455,0.029479503,0.047443574,0.011515431,0.017503455,0.035467526,0.011515431,0.017503455,0.011515431,0.011515431,0.029479503,0.011515431,0.011515431,0.011515431,0.017503455,0.029479503,0.011515431,0.011515431,0.490557347,0.017503455
ALMEIDA MTR 2014 REV BRAS FARMACOGN -BRAZ J PHARMACOGN,0.020032051,0.290865385,0.030448718,0.020032051,0.020032051,0.020032051,0.030448718,0.040865385,0.040865385,0.020032051,0.020032051,0.020032051,0.040865385,0.020032051,0.020032051,0.040865385,0.020032051,0.030448718,0.030448718,0.030448718,0.020032051,0.020032051,0.030448718,0.020032051,0.072115385
ALMEIDA SAA AC 2020 CORAL REEFS,0.019230769,0.009426848,0.009426848,0.019230769,0.009426848,0.234917044,0.009426848,0.019230769,0.014328808,0.009426848,0.014328808,0.019230769,0.014328808,0.02413273,0.014328808,0.02413273,0.043740573,0.009426848,0.048642534,0.288838612,0.014328808,0.014328808,0.058446456,0.014328808,0.029034691
ALONSO MB 2014 SCI TOTAL ENVIRON,0.011116052,0.32325478,0.011116052,0.011116052,0.097821254,0.034237439,0.016896398,0.016896398,0.016896398,0.011116052,0.022676745,0.016896398,0.022676745,0.011116052,0.022676745,0.028457092,0.011116052,0.016896398,0.040017786,0.016896398,0.040017786,0.051578479,0.063139173,0.016896398,0.016896398
ALTVATER L 2015 J EXP MAR BIOL ECOL,0.009912768,0.045995242,0.025376685,0.015067407,0.015067407,0.009912768,0.009912768,0.015067407,0.015067407,0.025376685,0.061459159,0.009912768,0.009912768,0.015067407,0.015067407,0.051149881,0.040840603,0.020222046,0.009912768,0.458366376,0.020222046,0.015067407,0.035685964,0.030531324,0.009912768
ALTVATER L 2017 MANAG BIOL INVASION,0.011655012,0.048018648,0.011655012,0.017715618,0.02983683,0.078321678,0.041958042,0.041958042,0.023776224,0.011655012,0.023776224,0.011655012,0.017715618,0.011655012,0.017715618,0.048018648,0.078321678,0.011655012,0.017715618,0.272261072,0.02983683,0.041958042,0.017715618,0.011655012,0.054079254
ALVES AM 2012 NOVA HEDWIGIA,0.063514467,0.017642908,0.026817219,0.017642908,0.026817219,0.026817219,0.017642908,0.026817219,0.136908963,0.081863091,0.017642908,0.017642908,0.017642908,0.017642908,0.026817219,0.017642908,0.063514467,0.100211715,0.017642908,0.035991531,0.035991531,0.026817219,0.054340155,0.017642908,0.026817219
ALVES AM 2019 AN ACAD BRAS CIENC,0.041734861,0.020458265,0.020458265,0.063011457,0.031096563,0.031096563,0.180032733,0.031096563,0.031096563,0.031096563,0.020458265,0.041734861,0.031096563,0.020458265,0.020458265,0.041734861,0.020458265,0.041734861,0.031096563,0.020458265,0.031096563,0.031096563,0.073649755,0.031096563,0.031096563
ALVES ANDRE M 2019 ,0.027838828,0.018315018,0.018315018,0.065934066,0.018315018,0.018315018,0.170695971,0.018315018,0.208791209,0.018315018,0.018315018,0.027838828,0.018315018,0.018315018,0.018315018,0.027838828,0.027838828,0.027838828,0.018315018,0.018315018,0.027838828,0.018315018,0.027838828,0.046886447,0.027838828
ALVES DFR 2013 AN ACAD BRAS CIENC,0.029059829,0.014245014,0.103133903,0.021652422,0.021652422,0.021652422,0.021652422,0.036467236,0.066096866,0.058689459,0.103133903,0.029059829,0.036467236,0.021652422,0.014245014,0.029059829,0.029059829,0.066096866,0.029059829,0.021652422,0.021652422,0.014245014,0.021652422,0.058689459,0.036467236
ALVES J 2014 ZOOTAXA,0.037475345,0.024654832,0.037475345,0.024654832,0.037475345,0.037475345,0.024654832,0.024654832,0.191321499,0.037475345,0.024654832,0.050295858,0.024654832,0.037475345,0.024654832,0.024654832,0.024654832,0.037475345,0.024654832,0.075936884,0.024654832,0.024654832,0.037475345,0.037475345,0.024654832
ALVES J 2020 ZOOTAXA,0.016869096,0.025641026,0.025641026,0.034412955,0.025641026,0.034412955,0.025641026,0.016869096,0.183535762,0.078272605,0.043184885,0.025641026,0.016869096,0.043184885,0.025641026,0.025641026,0.034412955,0.025641026,0.025641026,0.130904184,0.016869096,0.034412955,0.016869096,0.025641026,0.016869096
ALVES N 2010 ENVIRON MICROBIOL REP,0.025980642,0.085583291,0.012735609,0.403464086,0.019358125,0.025980642,0.019358125,0.019358125,0.019358125,0.019358125,0.019358125,0.045848192,0.019358125,0.025980642,0.012735609,0.025980642,0.019358125,0.012735609,0.012735609,0.012735609,0.012735609,0.032603158,0.012735609,0.039225675,0.019358125
ALVES SANTOS ME 2016 MAR BIODIVERS,0.019487179,0.026153846,0.019487179,0.026153846,0.066153846,0.012820513,0.026153846,0.032820513,0.032820513,0.026153846,0.019487179,0.086153846,0.019487179,0.026153846,0.012820513,0.026153846,0.166153846,0.019487179,0.012820513,0.012820513,0.119487179,0.059487179,0.066153846,0.039487179,0.012820513
AMADO EM 2015 MAR FRESHW BEHAV PHYSIOL,0.020441097,0.041420118,0.209252286,0.027434104,0.048413125,0.076385153,0.027434104,0.020441097,0.01344809,0.020441097,0.048413125,0.01344809,0.01344809,0.01344809,0.062399139,0.01344809,0.069392146,0.041420118,0.027434104,0.041420118,0.020441097,0.01344809,0.041420118,0.020441097,0.020441097
AMADO FILHO GILBERTO M 2006 ,0.043874644,0.021652422,0.014245014,0.021652422,0.029059829,0.014245014,0.014245014,0.058689459,0.014245014,0.206837607,0.058689459,0.058689459,0.014245014,0.014245014,0.014245014,0.043874644,0.029059829,0.073504274,0.014245014,0.058689459,0.014245014,0.021652422,0.014245014,0.036467236,0.058689459
AMADO-FILHO 1997 ICRS8,0.027576197,0.018142235,0.018142235,0.018142235,0.03701016,0.074746009,0.018142235,0.027576197,0.027576197,0.074746009,0.018142235,0.027576197,0.027576197,0.018142235,0.027576197,0.046444122,0.018142235,0.018142235,0.018142235,0.03701016,0.027576197,0.197387518,0.046444122,0.065312046,0.046444122
AMADO-FILHO GM 2010 CIENC MAR,0.282228117,0.020159151,0.013262599,0.013262599,0.040848806,0.013262599,0.013262599,0.013262599,0.020159151,0.144297082,0.109814324,0.020159151,0.013262599,0.020159151,0.033952255,0.033952255,0.020159151,0.013262599,0.013262599,0.013262599,0.013262599,0.027055703,0.033952255,0.013262599,0.020159151
AMADO-FILHO GM 2012 AQUAT BOT,0.26951151,0.014037058,0.014037058,0.021336328,0.087029759,0.021336328,0.014037058,0.014037058,0.014037058,0.028635598,0.035934868,0.072431218,0.050533408,0.065131948,0.014037058,0.043234138,0.028635598,0.014037058,0.028635598,0.021336328,0.014037058,0.028635598,0.035934868,0.014037058,0.014037058
AMADO-FILHO GM 2012 PLOS ONE,0.246348588,0.018500487,0.012171373,0.018500487,0.05647517,0.037487829,0.012171373,0.037487829,0.012171373,0.08812074,0.024829601,0.024829601,0.024829601,0.062804284,0.012171373,0.031158715,0.018500487,0.012171373,0.012171373,0.024829601,0.031158715,0.031158715,0.107108082,0.012171373,0.012171373
AMADO-FILHO GM 2012 REV BRAS FARMACOGN -BRAZ J PHARMACOGN,0.2232383,0.027434104,0.01344809,0.020441097,0.034427111,0.027434104,0.034427111,0.041420118,0.020441097,0.069392146,0.048413125,0.034427111,0.027434104,0.048413125,0.01344809,0.027434104,0.01344809,0.027434104,0.020441097,0.041420118,0.01344809,0.041420118,0.076385153,0.01344809,0.027434104
AMADO-FILHO 2016 MAR BIODIVER,0.20381808,0.014037058,0.021336328,0.021336328,0.123526109,0.014037058,0.014037058,0.028635598,0.021336328,0.035934868,0.014037058,0.050533408,0.021336328,0.094329029,0.050533408,0.021336328,0.014037058,0.043234138,0.014037058,0.014037058,0.035934868,0.021336328,0.021336328,0.021336328,0.014037058
AMADO-FILHO GM 2018 ALGAE,0.27229021,0.02229021,0.016608392,0.010926573,0.033653846,0.010926573,0.016608392,0.062062937,0.033653846,0.118881119,0.056381119,0.033653846,0.010926573,0.033653846,0.010926573,0.067744755,0.016608392,0.016608392,0.010926573,0.033653846,0.016608392,0.016608392,0.016608392,0.02229021,0.010926573
AMARAL 1997 ICRS8,0.033216783,0.033216783,0.021853147,0.04458042,0.021853147,0.021853147,0.021853147,0.021853147,0.033216783,0.021853147,0.021853147,0.021853147,0.04458042,0.021853147,0.033216783,0.033216783,0.192307692,0.033216783,0.021853147,0.033216783,0.13548951,0.021853147,0.021853147,0.033216783,0.021853147
AMARAL 2000 ICRS9,0.018315018,0.018315018,0.065934066,0.018315018,0.056410256,0.018315018,0.037362637,0.027838828,0.018315018,0.027838828,0.018315018,0.170695971,0.018315018,0.027838828,0.027838828,0.018315018,0.18974359,0.037362637,0.018315018,0.027838828,0.018315018,0.027838828,0.018315018,0.018315018,0.018315018
AMARAL ACZ 2005 CONSERV BIOL,0.021794872,0.044017094,0.021794872,0.010683761,0.021794872,0.010683761,0.044017094,0.032905983,0.016239316,0.027350427,0.032905983,0.077350427,0.04957265,0.010683761,0.010683761,0.010683761,0.038461538,0.04957265,0.016239316,0.032905983,0.010683761,0.071794872,0.044017094,0.032905983,0.221794872
AMARAL FD 1994 CORAL REEFS,0.119722383,0.014459225,0.014459225,0.021978022,0.014459225,0.014459225,0.014459225,0.014459225,0.059572007,0.014459225,0.014459225,0.021978022,0.029496819,0.021978022,0.05205321,0.089647195,0.179872759,0.021978022,0.021978022,0.014459225,0.021978022,0.029496819,0.014459225,0.067090804,0.014459225
AMARAL FD 2002 PROC BIOL SOC WASH,0.038461538,0.022836538,0.022836538,0.038461538,0.022836538,0.015024038,0.015024038,0.085336538,0.077524038,0.015024038,0.030649038,0.022836538,0.015024038,0.015024038,0.030649038,0.022836538,0.272836538,0.015024038,0.015024038,0.015024038,0.038461538,0.015024038,0.022836538,0.022836538,0.015024038
AMARAL FERNANDA DUARTE 2007 ,0.017806268,0.036324786,0.017806268,0.017806268,0.017806268,0.045584046,0.027065527,0.036324786,0.036324786,0.045584046,0.036324786,0.045584046,0.017806268,0.027065527,0.017806268,0.017806268,0.202991453,0.082621083,0.017806268,0.017806268,0.027065527,0.027065527,0.054843305,0.017806268,0.073361823
AMARAL FERNANDA DUARTE 2007 -a,0.031637717,0.039702233,0.023573201,0.015508685,0.023573201,0.023573201,0.023573201,0.023573201,0.063895782,0.015508685,0.039702233,0.031637717,0.015508685,0.039702233,0.031637717,0.015508685,0.225186104,0.047766749,0.015508685,0.015508685,0.096153846,0.047766749,0.015508685,0.039702233,0.023573201
AMARAL FERNANDA MARIA DUARTE DO 2014 ,0.015262515,0.039072039,0.015262515,0.023199023,0.039072039,0.023199023,0.031135531,0.054945055,0.015262515,0.023199023,0.015262515,0.015262515,0.023199023,0.015262515,0.015262515,0.015262515,0.031135531,0.015262515,0.039072039,0.015262515,0.015262515,0.086691087,0.015262515,0.015262515,0.332722833
AMARAL FMD 2006 ARQ CIENC MAR,0.014459225,0.029496819,0.029496819,0.021978022,0.029496819,0.074609601,0.014459225,0.029496819,0.029496819,0.044534413,0.021978022,0.044534413,0.014459225,0.029496819,0.014459225,0.021978022,0.367842684,0.014459225,0.021978022,0.014459225,0.014459225,0.021978022,0.014459225,0.014459225,0.029496819
AMARAL FMD 2008 ZOOTAXA,0.015508685,0.023573201,0.031637717,0.015508685,0.015508685,0.031637717,0.039702233,0.023573201,0.063895782,0.015508685,0.015508685,0.015508685,0.023573201,0.015508685,0.015508685,0.015508685,0.321960298,0.015508685,0.023573201,0.023573201,0.047766749,0.031637717,0.031637717,0.023573201,0.055831266
AMARAL FMD 2009 CAH BIOL MAR,0.022144522,0.014568765,0.02972028,0.014568765,0.037296037,0.037296037,0.014568765,0.02972028,0.02972028,0.044871795,0.022144522,0.150932401,0.014568765,0.014568765,0.044871795,0.014568765,0.219114219,0.044871795,0.022144522,0.014568765,0.02972028,0.02972028,0.02972028,0.037296037,0.014568765
AMARAL RF 2004 2004 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION VOLS 1- 5 PROCEEDINGS,0.017972682,0.017972682,0.017972682,0.03666427,0.027318476,0.027318476,0.017972682,0.289000719,0.017972682,0.046010065,0.017972682,0.046010065,0.027318476,0.017972682,0.017972682,0.027318476,0.017972682,0.03666427,0.027318476,0.017972682,0.017972682,0.03666427,0.074047448,0.027318476,0.055355859
AMORIM KDJ 2017 GENET MOL RES,0.010683761,0.010683761,0.010683761,0.010683761,0.010683761,0.016239316,0.016239316,0.010683761,0.010683761,0.010683761,0.032905983,0.082905983,0.021794872,0.010683761,0.010683761,0.032905983,0.010683761,0.021794872,0.021794872,0.021794872,0.177350427,0.010683761,0.04957265,0.310683761,0.016239316
ANDERSON 2017 AQUA,0.018491124,0.047337278,0.028106509,0.018491124,0.018491124,0.028106509,0.028106509,0.037721893,0.153106509,0.018491124,0.018491124,0.153106509,0.037721893,0.018491124,0.018491124,0.018491124,0.018491124,0.018491124,0.028106509,0.018491124,0.028106509,0.037721893,0.11464497,0.028106509,0.028106509
ANDERSON AB 2015 CHECKLIST,0.017325017,0.035343035,0.017325017,0.017325017,0.062370062,0.017325017,0.017325017,0.017325017,0.044352044,0.017325017,0.053361053,0.134442134,0.035343035,0.017325017,0.035343035,0.017325017,0.017325017,0.026334026,0.062370062,0.026334026,0.035343035,0.017325017,0.161469161,0.062370062,0.017325017
ANDERSON AB 2014 MAR ECOL -PROG SER,0.018618324,0.024987751,0.031357178,0.018618324,0.018618324,0.018618324,0.254287114,0.018618324,0.018618324,0.018618324,0.107790299,0.031357178,0.031357178,0.012248898,0.018618324,0.018618324,0.012248898,0.012248898,0.012248898,0.024987751,0.018618324,0.018618324,0.044096031,0.018618324,0.133268006
ANDERSON AB 2017 J FISH BIOL,0.010683761,0.016239316,0.021794872,0.010683761,0.077350427,0.021794872,0.010683761,0.010683761,0.027350427,0.016239316,0.021794872,0.060683761,0.010683761,0.016239316,0.027350427,0.027350427,0.010683761,0.032905983,0.021794872,0.194017094,0.19957265,0.010683761,0.021794872,0.027350427,0.021794872
ANDERSON AB 2019 MAR BIODIVERS,0.009201325,0.023555392,0.013986014,0.018770703,0.013986014,0.013986014,0.186234818,0.013986014,0.023555392,0.018770703,0.090541038,0.013986014,0.138387928,0.03312477,0.009201325,0.009201325,0.009201325,0.009201325,0.052263526,0.028340081,0.009201325,0.009201325,0.08097166,0.037909459,0.095325727
ANDERSON ANTONIO B 2020 J FISH BIOL-a,0.010864841,0.016514559,0.016514559,0.010864841,0.039113429,0.027813994,0.033463711,0.073011734,0.022164276,0.010864841,0.016514559,0.033463711,0.039113429,0.016514559,0.022164276,0.078661452,0.016514559,0.022164276,0.027813994,0.174706649,0.050412864,0.033463711,0.089960887,0.027813994,0.073011734
ANDERSON ANTONIO B 2020 J FISH BIOL,0.030578118,0.011944577,0.011944577,0.011944577,0.024366937,0.061634018,0.098901099,0.011944577,0.011944577,0.024366937,0.105112279,0.030578118,0.018155757,0.011944577,0.043000478,0.098901099,0.011944577,0.011944577,0.018155757,0.030578118,0.049211658,0.036789298,0.080267559,0.011944577,0.117534639
ANDRADE A 2004 AQUA,0.021607606,0.032843561,0.021607606,0.021607606,0.111495246,0.021607606,0.066551426,0.032843561,0.066551426,0.021607606,0.032843561,0.032843561,0.032843561,0.066551426,0.021607606,0.032843561,0.044079516,0.055315471,0.021607606,0.032843561,0.021607606,0.021607606,0.100259291,0.021607606,0.021607606
ANDRADE ACS 2003 AN ACAD BRAS CIENC,0.01701838,0.01701838,0.043567052,0.01701838,0.025867937,0.01701838,0.025867937,0.043567052,0.034717495,0.05241661,0.01701838,0.01701838,0.034717495,0.282505106,0.05241661,0.025867937,0.01701838,0.070115725,0.01701838,0.025867937,0.025867937,0.01701838,0.01701838,0.034717495,0.034717495
ANDRADE LS 2014 BRAZ J BIOL,0.011584801,0.02965709,0.156163114,0.011584801,0.011584801,0.023632994,0.02965709,0.011584801,0.023632994,0.035681186,0.035681186,0.017608897,0.156163114,0.023632994,0.02965709,0.053753475,0.023632994,0.107970343,0.011584801,0.02965709,0.011584801,0.035681186,0.047729379,0.017608897,0.011584801
ANDRADES R 2018 J APPL ICHTHYOL,0.029230769,0.019230769,0.019230769,0.059230769,0.029230769,0.019230769,0.019230769,0.029230769,0.019230769,0.019230769,0.019230769,0.219230769,0.029230769,0.029230769,0.029230769,0.129230769,0.029230769,0.029230769,0.049230769,0.019230769,0.029230769,0.019230769,0.029230769,0.029230769,0.029230769
ANDRADES R 2018 SCI REP,0.011379153,0.017296313,0.011379153,0.011379153,0.017296313,0.046882112,0.023213473,0.017296313,0.011379153,0.023213473,0.117888029,0.123805189,0.09421939,0.023213473,0.017296313,0.023213473,0.011379153,0.08830223,0.011379153,0.029130633,0.046882112,0.10013655,0.029130633,0.017296313,0.046882112
ANDRADES R 2019 ECOL INDIC,0.013470401,0.008862106,0.02268699,0.02268699,0.054945055,0.013470401,0.027295285,0.045728465,0.008862106,0.008862106,0.04112017,0.151719248,0.114852889,0.013470401,0.02268699,0.008862106,0.027295285,0.036511875,0.018078695,0.183977313,0.06876994,0.027295285,0.008862106,0.008862106,0.018078695
ANDRADES R 2019 MAR ECOL -PROG SER,0.01017501,0.026048026,0.052503053,0.015466015,0.026048026,0.01017501,0.026048026,0.041921042,0.015466015,0.068376068,0.01017501,0.015466015,0.332926333,0.015466015,0.020757021,0.020757021,0.015466015,0.052503053,0.052503053,0.031339031,0.047212047,0.015466015,0.015466015,0.015466015,0.026048026
ANGULO RJ 2018 J SOUTH AM EARTH SCI,0.01981352,0.024864025,0.00971251,0.014763015,0.04001554,0.00971251,0.01981352,0.024864025,0.01981352,0.014763015,0.014763015,0.085470085,0.00971251,0.418803419,0.014763015,0.024864025,0.024864025,0.07031857,0.014763015,0.014763015,0.00971251,0.04001554,0.01981352,0.014763015,0.00971251
ANKER A 2007 ZOOTAXA,0.022144522,0.014568765,0.022144522,0.022144522,0.022144522,0.014568765,0.014568765,0.014568765,0.400932401,0.022144522,0.014568765,0.06002331,0.044871795,0.014568765,0.022144522,0.014568765,0.014568765,0.02972028,0.014568765,0.014568765,0.052447552,0.014568765,0.052447552,0.014568765,0.014568765
ANKER A 2008 J MAR BIOL ASSOC U K,0.013262599,0.020159151,0.020159151,0.013262599,0.027055703,0.013262599,0.013262599,0.013262599,0.275331565,0.027055703,0.013262599,0.020159151,0.020159151,0.013262599,0.013262599,0.033952255,0.013262599,0.013262599,0.013262599,0.013262599,0.282228117,0.013262599,0.05464191,0.013262599,0.013262599
