,PAPER_ID,Year,Title,Keywords,Abstract,SR,cr_title,cr_doi,cr_author,cr_journal,cr_score,cr_scoreauthor
148,"BARBOZA CADM, 2015, MARINE BIODIVERSITY RECORDS",2015,BRITTLE STARS FROM THE SAINT PETER AND SAINT PAUL ARCHIPELAGO: MORPHOLOGICAL AND MOLECULAR DATA,EQUATORIAL ATLANTIC OCEAN,  MITOCHONDRIAL SEQUENCES,  OCEANIC ISLANDS,Brittle stars from the Saint Peter and Saint Paul Archipelago: morphological and molecular data,10.1017/s1755267214001511,Barboza,Marine Biodiversity Records,1,1
160,BARROS F 2020 MAR POLLUT BULL,2020,Choosing trash instead of nature: Sea urchin covering behavior,Marine litter, Lytechinus variegatus, Behavior,Choosing trash instead of nature: Sea urchin covering behavior,10.1016/j.marpolbul.2020.111188,Barros,Marine Pollution Bulletin,1,1
166,BARROSO MS 2018 DIVERSITY-BASEL,2018,ANTHROPOGENIC IMPACTS ON CORAL REEF HARPACTICOID COPEPODS,NA TAXONOMIC DISTINCTNESS CLIMATE-CHANGE COMMUNITY STRUCTURE RED CORAL BIODIVERSITY MEIOFAUNA ECOSYSTEM ASSEMBLAGES WINNERS COASTAL,THE NUMBER OF STUDIES DEMONSTRATING THE SUSCEPTIBILITY OF BENTHIC REEF  COMMUNITIES TO ANTHROPOGENIC IMPACTS IS GROWING. HOWEVER FOR SOME OF  THE COMPONENTS OF REEF FAUNA SUCH AS MEIOBENTHIC HARPACTICOID COPEPODS  INFORMATION IS STILL LACKING. HERE DIFFERENT DIVERSITY AND TAXONOMIC  DISTINCTNESS INDEXES AND MULTIVARIATE ANALYSES WERE USED TO TEST WHETHER  THE ASSEMBLAGE OF HARPACTICOID COPEPODS COLONIZING ARTIFICIAL SUBSTRATE  UNITS ASUS IS AN APPROPRIATE TOOL FOR THE IDENTIFICATION OF REEFS  SUBJECTED TO DIFFERENT LEVELS OF ANTHROPOGENIC PRESSURE. FURTHERMORE WE  ALSO EVALUATE IF DIFFUSED PERSISTENT ANTHROPOGENIC IMPACTS GENERATE  THE HOMOGENIZATION AND SIMPLIFICATION OF HARPACTICOIDA ASSEMBLAGES. SIX  REEFS WERE ORGANIZED INTO TWO GROUPS ALONG THE COAST DEPENDING ON THEIR  PROXIMITY TO VERY LARGE URBAN CENTERS. ASUS WERE USED FOR MEIOFAUNA  COLONIZATION AND FOR EACH REEF 320 HARPACTICOIDA INDIVIDUALS WERE  SEPARATED FOR IDENTIFICATION AT THE SPECIES LEVEL. ABIOTIC PARAMETERS  WERE ANALYZED AND SIGNIFICANT DIFFERENCES WERE FOUND BETWEEN THE TWO  GROUPS OF REEFS WITH AN INCREASE IN DISSOLVED INORGANIC NUTRIENTS FOUND  IN AREAS NEAR LARGE URBAN CENTERS. BOTH THE MULTIVARIATE ANALYSES AND  THE INDEXES OF DIVERSITY SHOWED A CLEAR SEPARATION BETWEEN THE REEFS  CLOSER TO THE URBAN ZONES AND THOSE FURTHER AWAY AS A RESPONSE TO THE  ANTHROPOGENIC PRESSURE. AS HYPOTHESIZED IN THE IMPACTED REEF AREAS  THERE WAS A STRONG SIMPLIFICATION AND HOMOGENIZATION OF THE HARPACTICOID  COPEPOD ASSEMBLAGES. HOWEVER THE RESULTS OF THE INDEXES BASED ON  TAXONOMIC DISTINCTNESS SUGGEST THAT THERE WAS NO PHYLOGENETIC SIGNAL OF  ANTHROPOGENIC IMPACT ON CORAL REEF HARPACTICOID COPEPODS.,BARROSO MS 2018 DIVERSITY-BASEL,Anthropogenic Impacts on Coral Reef Harpacticoid Copepods,10.3390/d10020032,Barroso,Diversity,1,1
185,BENDER MG 2012 END SPECIES RES,2012,"Mismatches between global, national and local red lists and their consequences for Brazilian reef fish conservation",Conservation  Red lists  Reef fish  Threatened species,"Red lists are important tools applied worldwide to species conservation, but disagreements between lists can affect their implementation and credibility. We searched global, national and local threatened species lists for Brazilian reef fish species and compared the differences between them with respect to categories and criteria applied. Of 559 Brazilian reef fish species, 125 have been evaluated against threat criteria at different scales; a total of 43 are listed as threatened with extinction. Of 43 threatened species, 32 are mentioned in the global IUCN Red List, 11 are referred to in the national inventory, and state lists also cite 11. Six endemic species are threatened; of these, 3 are listed by the IUCN, 5 at the national level and 2 are threatened in Esp�rito Santo state. This highlights a mismatch between species lists: 84.8% of the species listed as globally threatened do not appear in the national list, whereas 54.5% of the species mentioned on the Brazilian list are not in the IUCN Red List. Moreover, we found disagreements in the set of categories and criteria applied in the different red listing processes. The same categories and quantitative criteria must be applied in all regional red lists, so that conservation actions are more effective and lists are trustworthy. This is imperative to attract financial support for threatened species management and recovery. Management plans must be developed for those species already listed as threatened in Brazil. In addition, a review of the national list and the inclusion of threatened Brazilian endemic fishes in the IUCN Red List are needed.",,"Mismatches between global, national and local red lists and their consequences for Brazilian reef fish conservation",10.3354/esr00449,Bender,Endangered Species Research,1,1
190,BENELI TM 2020 MAR ENVIRON RES,2020,Ghost fishing impacts on hydrocorals and associated reef fish assemblages,Fire-coral, Fishing line, Coral mortality,Ghost fishing impacts on hydrocorals and associated reef fish assemblages,10.1016/j.marenvres.2020.105129,Beneli,Marine Environmental Research,1,1
242,"BREVES A, 2016, MARINE BIODIVERSITY RECORDS",2016,A UNIQUE SUBTIDAL VERMETID REEF FORMATION IN A NUCLEAR POWER PLANT DISCHARGE AREA AT ILHA GRANDE BAY (SOUTHWESTERN ATLANTIC OCEAN),BRAZILIAN COAST,  MICROATOLL,  NUCLEAR PLANTS,A unique subtidal vermetid reef formation in a nuclear power plant discharge area at Ilha Grande Bay (southwestern Atlantic Ocean),10.1186/s41200-016-0070-1,Breves,Marine Biodiversity Records,1,1
245,BROTTO DANIEL SHIMADA 2006 ,2006,FISH COMMUNITY MODELING AGENTS ON AN ARTIFICIAL REEF ON THE NORTHERN COAST OF RIO DE JANEIRO - BRAZIL,ARTIFICIAL REEF FISH COMMUNITY MODELING AGENTS STRUCTURAL COMPLEXITY RIO DE JANEIRO ,STATIONARY VISUAL CENSUS SURVEYS WERE PERFORMED ON AN EXPERIMENTAL ARTIFICIAL REEF 21�?29'S 41�?00'W TO CLARIFY THE ROLE OF STRUCTURAL COMPLEXITY AND BENTHIC COMMUNITY AS FISH COMMUNITY MODELING AGENTS. CONCRETE MODULES OF FOUR TYPES WERE GROUPED ACCORDING TO THE COMBINATION OF STRUCTURAL COMPLEXITY THROUGH THE PRESENCE/ABSENCE OF HOLES AND FAVOURABLE/UNFAVOURABLE SURFACE FOR BENTHIC COLONIZATION BY ANTI-FOULING PAINTING. THE SURVEY DECEMBER 2002 TO MARCH 2003 SHOWED HIGHER ABUNDANCE RICHNESS AND DIVERSITY IN THE COMPLEX MODULES. THE SAME HABITAT USAGE PATTERN WAS OBSERVED ACCORDING TO VERTICAL POSITION AND BOTTOM TYPE CATEGORIES DEMERSAL HARD-BOTTOM AND HABITAT GENERALIST FISHES PREFERRED THE COMPLEX ONES. A HIGHER NUMBER OF JUVENILES OCCURRED AT THOSE MODULES. IT IS ASSUMED THAT TROPHIC RELATIONSHIPS AND DIFFERENT HABITAT SELECTION RELATED TO ONTOGENETIC STAGES ARE ALSO IMPORTANT MODELING AGENTS TO THE FISH COMMUNITY STRUCTURE SINCE JUVENILE FISH SEEM TO ACTIVELY SEEK THE EXPERIMENTAL COMPLEX MODULES. ,BROTTO DANIEL SHIMADA 2006 ,Fish community modeling agents on an artificial reef on the northern coast of Rio de Janeiro - Brazil,10.1590/s1679-87592006000300004,Brotto,Brazilian Journal of Oceanography,1,1
248,BROTTO DS 2007 REV BRAS ZOOL,2007,COMPARATIVE EVALUATION OF FISH ASSEMBLAGES CENSUS ON AN ARTIFICIAL REEF,EXPERIMENTAL REEF COMPLEX RIO DE JANEIRO SAMPLING PERIOD UNDERWATER VISUAL CENSUS VISUAL CENSUS COMMUNITY STRUCTURE COMPLEXITY DENSITY,ONE OF THE MAIN ISSUES REGARDING ARTIFICIAL REEF FISH EVALUATION IS THE  PERFORMANCE OF AN EFFICIENT VISUAL CENSUS SAMPLING. AN EXPERIMENTAL  ARTIFICIAL REEF MADE OF FOUR DIFFERENT TYPES OF CONCRETE MODULES WAS  IMPLANTED ON THE NORTH COAST OF RIO DE JANEIRO 21 DEGREES 29'S 41  DEGREES 00W. TWO INTERVAL-SAMPLING PERIODS USING A VISUAL CENSUS METHOD  WERE PERFORMED IN THE SUMMER OF 2003 N = 6 AND 2004 N = 6 WEEKLY  AND DAILY RESPECTIVELY. THE LONGER INTERVAL-SAMPLING PERIOD SHOWED  TWICE OF SPECIES WITH EIGHT EXCLUSIVE ONES. TOTAL FISH ABUNDANCE WAS  HIGHER DURING THE SHORTER INTERVAL-SAMPLING PERIOD DUE TO THE PRESENCE  OF LARGE SHOALS OF CHLOROSCOMBRUS CHRYSURUS LINNAEUS 1766 AND  HAEMULON AUROLINEATUM CUVIER 1829 ESPECIALLY AT THE COMPLEX MODULES.  FISH ABUNDANCE ACCORDING TO VERTICAL POSITION AND FEEDING HABITS IN THE  TWO INTERVAL SAMPLING-PERIODS SHOWED A CLEAR ASSOCIATION TO THE  STRUCTURAL COMPLEX MODULES REINFORCING THE SHELTER INFLUENCE ON LOCAL  FISH ASSEMBLAGE STRUCTURE AND COMPOSITION. THE SECOND SURVEY SHOWED  QUITE DIFFERENT DIVERSITY AND TAXONOMIC RESULTS AND HIGHLIGHTED THE  IMPOSSIBILITY OF OBTAINING SEVERAL INDEPENDENT SAMPLES IN A SHORT  PERIOD OF TIME.,BROTTO DS 2007 REV BRAS ZOOL,Comparative evaluation of fish assemblages census on an artificial reef,10.1590/s0101-81752007000400037,Brotto,Revista Brasileira de Zoologia,1,1
317,"CASTELLO-BRANCO C, 2014, MARINE BIODIVERSITY RECORDS",2014,"SPONGES FROM THE ILHA GRANDE BAY, RIO DE JANEIRO STATE: TWO NEW RECORDS FOR BRAZILIAN SOUTH-EAST REGION",ILHA GRANDE,  PORIFERA,  SOUTH ATLANTIC,"Sponges from the Ilha Grande Bay, Rio de Janeiro State: two new records for Brazilian south-east region",10.1017/s1755267214000116,Castello-Branco,Marine Biodiversity Records,1,1
374,CONI EOC 2013 ENV BIOL FISH,2013,"An evaluation of the use of branching fire-corals (Millepora spp.) as refuge by reef fish in the Abrolhos Bank, eastern Brazil",Refuge availability Settlement. Recruitment . Benthic complexity . Predation . SW Atlantic,"Branching scleractinians provide fish with critical refuge against predation. While in the Caribbean and Indo-Pacific regions they are conspicuous elements of the reef community, in the tropical Southwestern Atlantic (Brazil) branching corals are lacking and massive forms dominate. The only branching forms that occur in Brazil are stinging fire-corals of genus Millepora (Hydrozoa). Preliminary observations showed that several fish species seek refuge within fire-corals in Brazil, suggesting that they may replace the functional role played by scleractinians in other regions. Here, the association of fishes to individual fire-coral colonies (Millepora alcicornis and M. brasiliensis) and the relationship between fire-coral cover and fish abundance was studied in eastern Brazil. A total of 38 fish species from 18 families (37 % of the regional species pool) were recorded within firecorals. Most records were of relatively small-bodied fishes and juveniles of large-bodied fishes. Comparative observations between day and night indicated that fire-corals are used as sleeping sites by a few species. Volume of colonies was positively correlated with fish abundance and species richness. Over a large spatial scale (tens of kilometers) fire-coral cover had a positive and significant influence on the abundance of three fish species only (Abudefduf saxatilis, Acanthurus coeruleus and Microspatodon chrysurus). Although physical attributes of colonies and fire-coral cover may help to account for some of the spatial variability in fish abundance, fire-corals may be considered as an alternative instead of a critical microhabitat for fish. The advantages and drawbacks of living in a branching and stinging environment are discussed.",,"An evaluation of the use of branching fire-corals (Millepora spp.) as refuge by reef fish in the Abrolhos Bank, eastern Brazil",10.1007/s10641-012-0021-6,Coni,Environmental Biology of Fishes,1,1
380,CORDEIRO CAMM 2020 FRONT MAR SCI,2020,The Biophysical Controls of Macroalgal Growth on Subtropical Reefs,marginal reefs, grazers, upwelling,The Biophysical Controls of Macroalgal Growth on Subtropical Reefs,10.3389/fmars.2020.00488,Cordeiro,Frontiers in Marine Science,1,1
382,CORDEIRO RTS 2015 BULL MAR SCI,2015,MESOPHOTIC CORAL ECOSYSTEMS OCCUR OFFSHORE AND NORTH OF THE AMAZON RIVER,NA CNIDARIA ANTHOZOA TROPICAL ATLANTIC BLACK CORALS OCTOCORALLIA REEFS RECORDS DIVERSITY ECOLOGY DEEP REEF SCLERACTINIA MESOPHOTIC,SINCE THE 1960S IT HAS BEEN ACCEPTED THAT THE DISTRIBUTION OF  REEF-BUILDING CORALS OFF BRAZIL HAS ITS NORTHERNMOST LIMIT AT THE MANUEL  LUIS MARINE STATE PARK APPROXIMATELY 0 DEGREES 46'S 44 DEGREES 15'W  ABOUT 530 KM SOUTH OF THE AMAZON RIVER MOUTH. IN THE PRESENT STUDY WE  CHALLENGE THIS VIEW AND REPORT A GEOGRAPHIC EXTENSION OF CORAL  DISTRIBUTION OF OVER 550 KM TO THE NORTH TO 02 DEGREES 13'48 `' N AND  48 DEGREES 10'12 `' W. THE AMAZON RIVER IS BELIEVED TO BE THE GREATEST  BARRIER TO THE DISTRIBUTION OF MARINE SPECIES BETWEEN BRAZILIAN AND  CARIBBEAN WATERS. AFTER EXAMINING SPECIMENS DEPOSITED IN MUSEUMS AND  DOCUMENTED IN SCIENTIFIC LITERATURE WE RECORDED 38 CORAL SPECIES  OFFSHORE OF THE AMAZON RIVER MOUTH INCLUDING 27 OCTOCORALS 9  SCLERACTINIANS 1 HYDROCORAL AND 1 BLACK CORAL. CORALS WERE FOUND AT  DEPTHS BETWEEN 18 AND 125 M PROVIDING EVIDENCE OF MESOPHOTIC CORAL  ECOSYSTEMS ADJACENT TO THE MOUTH OF AMAZON RIVER WHICH RAISES IMPORTANT  QUESTIONS ABOUT THE ORIGIN AND CONNECTIVITY BETWEEN POPULATIONS OF REEF  ORGANISMS OFF BRAZIL AND THOSE IN THE CARIBBEAN REGION.,CORDEIRO RTS 2015 BULL MAR SCI,Mesophotic coral ecosystems occur offshore and north of the Amazon River,10.5343/bms.2015.1025,Cordeiro,Bulletin of Marine Science,1,1
