;X;PY;TI;DE;AB;SR;DI;;;;;;;;;;;;;;;;;;
622;WINSTON JE, 2016, ZOOTAXA;2016;BRYOZOA OF FLORIDAN OCULINA REEFS;BRYOZOA;;;;" FLORIDA"",""THE DEEP-WATER OCULINA CORAL REEFS ON THE CONTINENTAL SHELF OFF THE EAST CENTRAL COAST OF FLORIDA ARE A UNIQUE PROTECTED MARINE HABITAT. A COMPLETE INVENTORY OF THE OCULINA-ASSOCIATED FAUNA IS IMPORTANT TO SUPPORT ITS CONSERVATION. THIS PAPER PROVIDES AN INVENTORY OF THE BRYOZOANS OF THE OCULINA REEF AREA. UNUSUALLY, THE BRYOZOAN FAUNA IS DOMINATED BY ENCRUSTING CRIBRILINID BRYOZOANS. THESE INCLUDE TWO NEW SPECIES OF PUELLINA AND THREE OTHER FLORIDAN-ATLANTIC SHELF PUELLINA ONLY RECENTLY DESCRIBED. ADDITIONAL CRIBRILINID SPECIES BELONG TO THE GENERA KLUGERELLA AND ROSULAPELTA. OTHER BRYOZOANS FOUND IN THE HABITAT INCLUDE 38 ENCRUSTING CHEILOSTOME SPECIES, SIX OF THEM NEW TO SCIENCE, BELONGING TO THE GENERA CALLOPORA, PARASMITTINA, PARASMITTINA, SMITTINA, MICROPORELLA AND STEPHANOLLONA. CYCLOSTOMES WERE ONLY SPARSELY REPRESENTED, COMPRISING THREE ENCRUSTING TAXA."",""WINSTON JE, 2016, ZOOTAXA"",NA";;;;;;;;;;;;;;;;;
626;MENDES CB, 2016, ZOOTAXA;2016;NEW RECORDS OF RIBBON WORMS (NEMERTEA) FROM CEARA, NORTHEAST BRAZIL;OCCURRENCE;;;;;;;;;;;;;;;;;;;;;
628;SCUSSEL FERANTI JP, 2016, ACTA SCI VET;2016;LAPAROSCOPIC NEPHROTOMY TO REMOVAL OF STAGHORN CALCULUS IN A CANINE;SURGERY;;;;;;;;;;;;;;;;;;;;;
650;CHULLASORN S, 2016, RAFFLES BULL ZOOL;2016;A NEW SPECIES OF THE GENUS PARATHALESTRIS (COPEPODA: HARPACTICOIDA: THALESTRIDAE) FROM DEAD STAGHORN CORALS ON TAO ISLAND, SOUTHERN THAILAND;TAXONOMY;;;;;;;;;;;;;;;;;;;;;
665;MONGKOLSUK P, 2015, PHYTOTAXA;2015;THE LICHEN FAMILY PHYSCIACEAE IN THAILAND-II. CONTRIBUTIONS TO THE GENUS HETERODERMIA SENSU LATO;APPALACHIN;;;;" BASIONYM: HETERODERMIA NEGLECTA LENDEMER, R.C. HARRIS \& TRIPP, THE BRYOLOGIST 110(3): 490 (2007)], P. PROPAGULIFERUM (VAIN.) KALB, P. QUEENSLANDICUM (ELIX) KALB, P. SUBNEGLECTUM (ELIX) KALB AND P. VIOLOSTRIATUM (ELIX) KALB, ARE MADE. CHAUDHURIA ZAHLBR. IS A SYNONYM OF HETERODERMIA S.STR. AND CHAUDHURIA INDICA ZAHLBR. IS AN OLDER SYNONYM FOR HETERODERMIA VERDONII ELIX, BUT AS THE NAME HETERODERMIA INDICA (H. MAGN.) D.D. AWASTHI ALREADY EXISTS FOR ANOTHER SPECIES, THE CORRECT NAME FOR THIS TAXON REVERTS TO H. VERDONII. CHEMICAL ANALYSES REVEALED THAT HETERODERMIA REAGENS (KUROK.) ELIX MUST BE PLACED INTO SYNONYMY WITH POLYBLASTIDIUM PROPAGULIFERUM (VAIN.) KALB. DICHOTOMOUS KEYS FOR THE IDENTIFICATION OF ALL SPECIES ARE PROVIDED. CHARACTERISTIC TLC PROFILES FOR SELECTED SPECIES ARE PRESENTED AND R-F VALUES FOR THE MOST IMPORTANT TERPENES AND PIGMENTS ARE GIVEN FOR THE FIRST TIME IN THE STANDARD SOLVENTS A, B' AND C. PHOTOGRAPHS SHOWING THE SPECIES AS WELL AS CHARACTERISTIC STRUCTURES IN THE GENERA AND GROUPS ARE ALSO PROVIDED. A NEW EPITYPE FOR H. COMOSA FROM REUNION IS DESIGNATED."",""MONGKOLSUK P, 2015, PHYTOTAXA"",NA";;;;;;;;;;;;;;;;;
693;FERREIRA LC, 2015, TROP ECOL;2015;TEMPORAL AND SPATIAL VARIATION OF PHYTOPLANKTON IN A TROPICAL REEF AREA OF BRAZIL;FRACTIONATED CHLOROPHYLL ALPHA;;;;;;;;;;;;;;;;;;;;;
703;GRANIER B, 2015, CARNETS GEOL;2015;END OF A MODERN GEOLOGICAL MYTH: THERE ARE NO RUDISTS IN BRAZIL! PALEOBIOGEOGRAPHIC IMPLICATIONS;RUDISTS;;;; ALBIAN; CENOMANIAN; SOUTH ATLANTIC; TETHYS; MESOGEA;; CHLORALGAL;" PALEOBIOGEOGRAPHY"",""OUT OF THE FEW RECORDS OF RUDISTS FROM THE CRETACEOUS STRATA OF THE SOUTH ATLANTIC COASTAL BASINS ONLY TWO REFER TO BRAZILIAN LOCALITIES. HOWEVER, PETROGRAPHIC ANALYSES DEMONSTRATE THAT THESE SHELLS SHOULD BE ASSIGNED TO OSTREIDS OR TO PYCNODONTIDS RATHER THAN TO RUDISTIDS. MORE SPECIFICALLY, THE DOMAIN CONSIDERED HEREIN, NORTH OF THE RIO GRANDE RISE - WALVIS RIDGE BARRIER, WAS PART OF THE WARM-WATER ``TROPICAL'' REALM, BUT IT WAS NOT PART OF THE MESOGEAN DOMAIN BECAUSE BOTH RUDISTIDS AND ORBITOLINAS ARE MISSING. IN ADDITION, THE SCARCITY OF CORALS LEADS US TO ASCRIBE THE TAPHONOMIC ASSEMBLAGE TO THE CHLORALGAL FACIES. NEITHER GENERALIZED HYPERSALINITY OR EXTREME SEA-WATER TEMPERATURES SEEM TO ACCOUNT FOR THESE BIOTIC PECULIARITIES. INSTEAD, OUR ALTERNATIVE HYPOTHESIS FAVORS THE DRIVING ROLE PLAYED BY OCEANIC CIRCULATION IN THE DISPERSAL OF THE BENTHIC ORGANISMS."",""GRANIER B, 2015, CARNETS GEOL"",NA";;;;;;;;;;
730;SIMONE LRL, 2015, J CONCHOL;2015;THREE NEW SPECIES OF KORA (PULMONATA, ORTHALICIDAE) FROM BAHIA AND MINAS GERAIS, BRAZIL;NA;THREE NEW SPECIES OF THE RECENTLY DESCRIBED GENUS KORA ARE DESCRIBED, BASED ON DRY MATERIAL COLLECTED IN CAVERNICULOUS AND ADJACENT ENVIRONMENTS. KORA TERREA, FROM PRESIDENTE OLEGARIO, MG, IS CHARACTERIZED BY SPOTTED PIGMENTATION;;;;;;;;;;;;;;;;;;;;
753;TAMEGA FTS, 2015, PHYTOTAXA;2015;TAXONOMY AND DISTRIBUTION OF NON-GENICULATE CORALLINE RED ALGAE (CORALLINALES, RHODOPHYTA) ON ROCKY REEFS FROM ILHA GRANDE BAY, BRAZIL;HYDROLITHOIDEAE;;;;;;;;;;;;;;;;;;;;;
760;MIRANDA ALS, 2015, CAH BIOL MAR;2015;HOLOTHUROIDEA (ECHINODERMATA) FROM REEF ECOSYSTEMS ON THE CENTRAL COAST OF ALAGOAS, BRAZIL, WITH A NEW RECORD TO SOUTH ATLANTIC OCEAN;SEA CUCUMBER;;;;;;;;;;;;;;;;;;;;;
772;DE ARAUJO JC, 2015, 2015 IEEE/OES ACOUSTICS IN UNDERWATER GEOSCIENCES SYMPOSIUM;2015;LOW-COST BATHYMETRIC SURVEY FOR MARINE PROTECTED AREAS: CORAL REEFS AND COASTAL ISLANDS;BATHYMETRY;;;;;;;;;;;;;;;;;;;;;
799;DOS SANTOS AS, 2014, ZOOTAXA;2014;SABELLARIA AND LYGDAMIS (POLYCHAETA: SABELLARIIDAE) FROM REEFS OFF NORTHEASTERN BRAZIL INCLUDING A NEW SPECIES OF SABELLARIA;TAXONOMY;;;;;;;;;;;;;;;;;;;;;
808;VAN SOEST RWM, 2014, ZOOTAXA;2014;DEEP-WATER SPONGES (PORIFERA) FROM BONAIRE AND KLEIN CURACAO, SOUTHERN CARIBBEAN;SPONGE FAUNA;;;;;;;;;;;;;;;;;;;;;
846;WOELKERLING WJ, 2014, CARNETS GEOL;2014;HEYDRICHIA (?) POIGNANTII, SP NOV (SPOROLITHACEAE, SPOROLITHALES, RHODOPHYTA), A 100 MILLION YEAR OLD FOSSIL CORALLINE RED ALGA FROM NORTH-EASTERN BRAZIL, AND A NEW HAUTERIVIAN RECORD OF SPOROLITHON FROM SWITZERLAND;HEYDRICHIA;;;; ALBIAN;" CENOMANIAN"",""FOSSIL SPECIMENS OF HEYDRICHIA (?) POIGNANTII, SP. NOV. (SPOROLITHACEAE, SPOROLITHALES, RHODOPHYTA), REPRESENTING THE FIRST CONFIRMATION OF THE GENUS IN THE FOSSIL RECORD, WERE DISCOVERED IN THIN SECTIONS OF ALBIAN LIMESTONES FROM THE RIACHUELO FORMATION, SERGIPE BASIN, AND IN THIN SECTIONS OF ALBIAN -CENOMANIAN LIMESTONES FROM THE PONTA DO MEL FORMATION, POTIGUAR BASIN IN NORTH-EASTERN BRAZIL. A DETAILED MORPHOLOGICAL-ANATOMICAL ACCOUNT OF THE SPECIES IS PROVIDED, AND ITS PLACEMENT IN HEYDRICHIA IS DISCUSSED IN RELATION TO CURRENT CLASSIFICATION PROPOSALS. COMPARISONS WITH THE FOUR OTHER KNOWN SPECIES OF THE GENUS, ALL NON-FOSSIL, SHOW THAT H. POIGNANTII IS THE ONLY KNOWN SPECIES OF HEYDRICHIA IN WHICH THALLI ARE ENCRUSTING TO SPARSELY WARTY TO HORIZONTALLY LAYERED WITH OVERLAPPING LAMELLATE BRANCHES THAT COMMONLY APPEAR VARIOUSLY CURVED OR ARCHED, AND IN WHICH THALLI HAVE SPORANGIAL COMPLEXES THAT BECOME BURIED IN THE THALLUS. THE EVOLUTIONARY HISTORY OF HEYDRICHIA REMAINS UNCERTAIN, BUT AVAILABLE DATA SUGGEST THAT THE GENUS MAY HAVE DIVERGED FROM THE SPOROLITHACEAN GENUS SPOROLITHON, KNOWN AS EARLY AS HAUTERIVIAN TIMES (C. 129.4-132.9 +/- 1 MA) FROM SPAIN (AND NEWLY REPORTED HERE FROM SWITZERLAND), OR IT MAY HAVE ARISEN FROM A GRATICULACEAN ALGA SUCH AS GRATICULA, DATING FROM MID-SILURIAN TIMES (C. 427-435 MA). CURRENT DATA ALSO SUGGEST THAT HEYDRICHIA IS MORE LIKELY TO HAVE ARRIVED IN BRAZIL FROM CENTRAL ATLANTIC WATERS THAN FROM HIGHER LATITUDE SOUTH ATLANTIC WATERS. THIS IMPLIES THAT CURRENTLY LIVING SPECIES IN SOUTHERN AFRICA PROBABLY AROSE LATER FROM ANCESTORS FURTHER EQUATORWARD IN THE SOUTH ATLANTIC, ALTHOUGH CONFIRMING STUDIES ARE NEEDED. ALL NON-FOSSIL SPECIES OF HEYDRICHIA ARE KNOWN ONLY FROM THE SOUTHERN HEMISPHERE."",""WOELKERLING WJ, 2014, CARNETS GEOL"",NA";;;;;;;;;;;;;;;;
870;BOUDAGHER-FADEL MLK, 2014, MICROPALEONTOLOGY;2014;THE PHYLOGENETIC AND PALAEOGEOGRAPHIC EVOLUTION OF THE NUMMULITOID LARGER BENTHIC FORAMINIFERA;NA;NUMMULITOIDEA ARE LARGER BENTHIC FORAMINIFERA, AND WERE MAJOR REEF-FORMING ORGANISMS FROM THE MIDDLE PALEOGENE TO EARLY NEOGENE. TODAY, POROUS NUMMULITOID LIMESTONES, WHICH OCCUR GLOBALLY FROM THE ATLANTIC TO THE INDO-PACIFIC, FORM POTENTIALLY VALUABLE OIL RESERVOIRS. UNTIL NOW THE ORIGIN, EVOLUTION AND PALAEOGEOGRAPHIC DEVELOPMENT OF THE NUMMULITOIDS HAVE NOT BEEN FULLY ARTICULATED, BUT NEW MATERIAL ALLOWS HERE THE FIRST SYSTEMATIC, GLOBAL BIOSTRATIGRAPHIC COMPARISON AND CORRELATION OF THE NUMMULITOIDS TO BE MADE. IT IS SUGGESTED THAT THE NINRUNULITOIDS ORIGINATED IN THE AMERICAS DURING THE MIDDLE PALEOCENE (SELANDIAN). THESE EARLY NUMMULITOIDS ARE INFERRED TO HAVE MIGRATED ACROSS THE ATLANTIC IN THE LATE PALEOCENE (THANETIAN) FOLLOWING TWO PATHS: SOUTH TOWARDS SW AFRICA, AND NORTHEASTWARD THROUGH THE TETHYAN CORRIDOR. THE TETHYAN FORMS EVOLVED DURING THE EOCENE INTO MANY LINEAGES, WHICH IN TURN MIGRATED, WITHIN A FEW MILLION YEARS OF THEIR FIRST APPEARANCE, INTO THE INDO-PACIFIC, WHERE THEY BECAME ISOLATED AND DIVERSIFIED FURTHER. MEANWHILE THE SW AFRICAN FORMS REMAINED SMALL AND SIMILAR TO THE ORIGINAL AMERICAN STOCK UNTIL THE EARLY MIOCENE (BURDIGALIAN), WHEN ASSEMBLAGES WERE AUGMENTED BY FORMS THAT MIGRATED FROM TETHYS, AN EVENT ESTABLISHED BY THE DISCOVERY OF NEW MEDITERRANEAN-DERIVED SPECIES OF PLANOSTEGINA IN SW AFRICA: AFRICANA, MCMILLLANIA, SOUTHERNIA, LANGHIANA. CLIMATIC AND TECTONIC PROCESSES CONTRIBUTED TO THE MIDDLE OLIGOCENE DISAPPEARANCE OF NUMMULITES AND THE EARLY MIOCENE GLOBAL EXTINCTION OF SPIRODYPEUS AND OF CYCLODYPEUS IN THE MEDITERRANEAN. MORPHOLOGICALLY SMALL NUMMULITOIDS PERSISTED HOWEVER, AND ARE STILL PRESENT IN ALL PROVINCES TO THIS DAY.;BOUDAGHER-FADEL MLK, 2014, MICROPALEONTOLOGY;NA;;;;;;;;;;;;;;;;;;
873;NOGUEIRA MM, 2014, CAH BIOL MAR;2014;THE ADVERSE EFFECTS OF CRYPTOCHIRID CRABS (DECAPODA: BRACHYURA) ON SIDERASTREA STELLATA VERRIL, 1868 (ANTHOZOA: SCLERACTINIA): CAUSES AND CONSEQUENCES OF CAVITY ESTABLISHMENT;CRYPTOCHIRIDAE;;;;;;;;;;;;;;;;;;;;;
913;DE LIMA LA, 2013, PROTEIN PEPT LETT;2013;IDENTIFICATION OF A NOVEL ANTIMICROBIAL PEPTIDE FROM BRAZILIAN COAST CORAL PHYLLOGORGIA DILATATA;REEF CORAL;;;;;;;;;;;;;;;;;;;;;
914;PINHEIRO HT, 2013, ZOOTAXA;2013;A NEW SPECIES OF THE GENUS HYPLEUROCHILUS (TELEOSTEI: BLENNIIDAE) FROM TRINDADE ISLAND AND MARTIN VAZ ARCHIPELAGO, BRAZIL;COMBTOOTH BLENNY;;;;;;;;;;;;;;;;;;;;;
922;ROMERO MV, 2013, AM MALACOL BULL;2013;DIFFERENTIAL SETTLEMENT OF ASSOCIATED SPECIES ON OSTREA PUELCHANA D'ORBIGNY, 1842 (OSTREIDAE) IN PATAGONIA (ARGENTINA);EPIBIOSIS;;;;;;;;;;;;;;;;;;;;;
969;YANG DT, 2013, 2013 6TH INTERNATIONAL CONGRESS ON IMAGE AND SIGNAL PROCESSING (CISP), VOLS 1-3;2013;DETECTION OF CORAL DISTRIBUTION CHANGE IN RECENT DECADES WITH SATELLITE REMOTE SENSING;CORAL REEF DISTRIBUTION;;;;;;;;;;;;;;;;;;;;;
979;GALVAO CB, 2013, CREATING GLOBAL COMPETITIVE ECONOMIES: 2020 VISION PLANNING \& IMPLEMENTATION, VOLS 1-3;2013;THE SOUTH AMERICA EAST COAST REEFER CARGO: A DIAGNOSIS OF A COMPETITIVE MARKET;REEFER CARGO;;;;;;;;;;;;;;;;;;;;;
1000;GABRIELSON PW, 2013, PHYCOLOGIA;2013;ARE THERE WIDELY DISTRIBUTED NONGENICULATE CORALLINE SPECIES (CORALLINALES AND SPOROLITHALES, RHODOPHYTA)? INSIGHTS FROM SEQUENCING TOPOTYPES OR TYPE SPECIMENS;NA;NA;GABRIELSON PW, 2013, PHYCOLOGIA;NA;;;;;;;;;;;;;;;;;;
1012;TAGLIAFICO A, 2012, REV BIOL TROP;2012;DISTRIBUTION, DENSITY AN SIZE STRUCTURE OF OREASTER RETICULATUS AND LUIDIA SENEGALENSIS (ECHINODERMATA: ASTEROIDEA) IN CUBAGUA ISLAND, VENEZUELA;EQUINODERM;;;; AS WELL AS IN THE VIRGIN ISLANDS AND BELIZE. FOR L. SENEGALENSIS WE FOUND AN AVERAGE DENSITY OF 40IND./HA; 95\% EXCEEDED THE REPORTED SIZE AT MATURITY, WITH MEAN LENGTH OF 12CM +/- 3.5CM (RANGE: 3.5-22.3CM);" THEY WERE FOUND ONLY IN 15\% OF THE STATIONS OF WHICH 92.5\% WERE SANDY BOTTOMS AND THE OTHER 7.5\% OYSTER BEDS. THE DEGREE OF AGGREGATION OF L. SENEGALENSIS WAS GREATER THAN O. RETICULATUS, WITH AN ESTIMATED K OF 0.06. HOWEVER, IT WAS NOT POSSIBLE TO COMPARE THE DENSITIES OF L. SENEGALENSIS WITH ANY OTHER STUDY. FOR BOTH SPECIES IS RECOMMENDED TO CARRY OUT REPRODUCTIVE STUDIES AND TO MONITOR THEIR POPULATION DENSITIES TO INFER TEMPORAL VARIATIONS. REV. BIOL. TROP. 60 (3): 1149-1159. EPUB 2012 SEPTEMBER 01."",""TAGLIAFICO A, 2012, REV BIOL TROP"",NA";;;;;;;;;;;;;;;
1028;CIPRESSO PEREIRA PH, 2012, CYBIUM;2012;AGONISTIC BEHAVIOUR AMONG HAEMULON SPP. (ACTINOPTERYGII: HAEMULIDAE) AND OTHER CORAL REEF FISHES IN NORTHEASTERN BRAZIL;HAEMULIDAE;;;;" P < 0.05). PROBABLY IN RELATION WITH THEIR LARGER BODY SIZE AND MORE SOLITARY HABITS."",""CIPRESSO PEREIRA PH, 2012, CYBIUM"",NA";;;;;;;;;;;;;;;;;
1030;COELHO FN, 2012, NEOTROP ICHTHYOL;2012;SPATIAL DISTRIBUTION AND DIET OF CEPHALOPHOLIS FULVA (EPHINEPHELIDAE) AT TRINDADE ISLAND, BRAZIL;CHELONIA MYDAS;;;;;;;;;;;;;;;;;;;;;
1051;SEGAL B, 2012, CEINC MAR;2012;EXPERIMENTAL RECRUITMENT OF THE BRAZILIAN ENDEMIC CORAL MUSSISMILIA BRAZILIENSIS AND CONDITIONING OF SETTLEMENT PLATES;CORAL;;;;;;;;;;;;;;;;;;;;;
1054;GOMES PB, 2012, AN ACAD BRAS CIENC;2012;PREY SELECTIVITY OF THE OCTOCORAL CARIJOA RIISEI AT PERNAMBUCO, BRAZIL;ALCYONACEA;;;;;;;;;;;;;;;;;;;;;
1065;DE ANDRADE CUNHA FE, 2012, BOL INST PESCA;2012;EXPORTATION OF REEF FISH FOR HUMAN CONSUMPTION: LONG-TERM ANALYSIS USING DATA FROM RIO GRANDE DO NORTE, BRAZIL;MARINE FISHES;;;;;;;;;;;;;;;;;;;;;
1070;DE SOUZA CD, 2012, BOL INST PESCA;2012;CHARACTERIZATION OF THE FISHERY IN THE SOUTH OF ENVIRONMENTAL PROTECTION AREA OF COSTA DOS CORAIS, ALAGOAS STATE, BRAZIL;FISH;;;;;;;;;;;;;;;;;;;;;
1084;CINTRA DA COSTA NUNES JA, 2012, BIOTA NEOTROP;2012;REEF FISHES CAPTURED BY RECREATIONAL SPEARFISHING ON REEFS OF BAHIA STATE, NORTHEAST BRAZIL;OVERFISHING;;;;;;;;;;;;;;;;;;;;;
1085;MENSCHIK F, 2012, HARMONISING ROCK ENGINEERING AND THE ENVIRONMENT;2012;2D-/3D-STRESS ANALYSIS OF DEEP-SEATED GOLD MINES IN SOUTH AFRICA;CASE STUDIES;;;;;;;;;;;;;;;;;;;;;
1087;PRAZERES MF, 2012, J FORAMINIFER RES;2012;ASSESSMENT OF WATER QUALITY IN COASTAL WATERS OF FERNANDO DE NORONHA, BRAZIL: BIOMARKER ANALYSES IN AMPHISTEGINA LESSONII;NA;SYMBIONT-BEARING FORAMINIFERAL ASSEMBLAGES FROM REEF ENVIRONMENTS HAVE PROVEN USEFUL AS ECOLOGICAL INDICATORS FOR WATER QUALITY. STUDIES WITH OTHER ORGANISMS HAVE UTILIZED CELLULAR BIOMARKERS TO ELUCIDATE MECHANISMS OF STRESS RESPONSE. OUR GOAL WAS TO COMBINE THESE APPROACHES, FOCUSING ON POPULATIONS OF THE SYMBIONT-BEARING FORAMINIFER AMPHISTEGINA LESSONII FROM FERNANDO DE NORONHA ARCHIPELAGO (NORTHEASTERN BRAZIL). REEF-RUBBLE SAMPLES CONTAINING A. LESSONII WERE COLLECTED AT FIVE SAMPLING SITES ON THE LEEWARD SIDE OF THE MAIN ISLAND. THREE SITES WERE LOCATED INSIDE AND TWO OUTSIDE THE FERNANDO DE NORONHA NATIONAL MARINE PARK (FNNMP) AREA. FORAMINIFERS WERE EVALUATED REGARDING THEIR DENSITY, DEGREE OF BLEACHING, ANTIOXIDANT CAPACITY AGAINST PEROXYL RADICALS (ACAP), LIPID PEROXIDATION (LPO), PROTEIN CARBONYLATION (PC), AND CONCENTRATIONS OF METALLOTHIONEIN-LIKE PROTEINS (MTS). DENSITIES OF A. LESSONII WERE LOWER AT SITES LOCATED OUTSIDE THE FNNMP, COMPARED WITH THOSE INSIDE THE FNNMP, WHERE THE MAXIMUM AVERAGE WAS 159 +/- 29 INDIVIDUALS/100 CM(2). IN INDIVIDUALS FROM SITES LOCATED OUTSIDE FNNMP, BLEACHING FREQUENCY REACHED 25\%, THOUGH <2\%;;;;;;;;;;;;;;;;;;;;
1088;DE AMORIM XAVIER JH, 2012, NEOTROP ICHTHYOL;2012;FISH ASSEMBLAGE OF THE MAMANGUAPE ENVIRONMENTAL PROTECTION AREA, NE BRAZIL: ABUNDANCE, COMPOSITION AND MICROHABITAT AVAILABILITY ALONG THE MANGROVE-REEF GRADIENT;CONSERVATION;;;;;;;;;;;;;;;;;;;;;
1097;CARVAJAL E, 2011, EARTH SCI RES J;2011;QUATERNARY DATING BY ELECTRON SPIN RESONANCE (ESR) APPLIED TO HUMAN TOOTH ENAMEL;EPR/ESR;;;;;;;;;;;;;;;;;;;;;
